Contribution explanations,Importance explanations,Counterfactual explanations,Feature-based,ID,All
,,,,11,"<b>The algorithm predicts the price of a house in a neighborhood</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>House size (square feet)</td> <td>98</td> </tr> <tr> <td>Neighborhood crime rate</td> <td>85</td> </tr> <tr> <td>Distance to city center</td> <td>78</td> </tr> </tbody> </table>"
,,,,12,"<b>The algorithm predicts the sentiment of a tweet</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Number of positive words</td> <td>75</td> </tr> <tr> <td>Number of negative words</td> <td>68</td> </tr> <tr> <td>Presence of emojis</td> <td>40</td> </tr> </tbody> </table>"
,,,,13,"<b>The algorithm predicts the likelihood of a patient developing a certain disease</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Genetic predisposition</td> <td>95</td> </tr> <tr> <td>Dietary habits</td> <td>80</td> </tr> <tr> <td>Exercise frequency</td> <td>85</td> </tr> </tbody> </table>"
,,,,14,"<b>The algorithm predicts the success of a marketing campaign</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Target audience segmentation</td> <td>90</td> </tr> <tr> <td>Message clarity</td> <td>85</td> </tr> <tr> <td>Timing of campaign</td> <td>75</td> </tr> </tbody> </table>"
,,,,15,"<b>The algorithm predicts the likelihood of a student passing an exam</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Study hours</td> <td>95</td> </tr> <tr> <td>Previous exam scores</td> <td>85</td> </tr> <tr> <td>Attendance</td> <td>80</td> </tr> </tbody> </table>"
,,,,16,"<b>The algorithm predicts the likelihood of a customer purchasing a product</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Age of customer</td> <td>85</td> </tr> <tr> <td>Income of customer</td> <td>78</td> </tr> <tr> <td>Previous purchase history</td> <td>92</td> </tr> </tbody> </table>"
,,,,17,"<b>The algorithm predicts the risk of default for a loan application</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Credit score</td> <td>90</td> </tr> <tr> <td>Debt-to-income ratio</td> <td>85</td> </tr> <tr> <td>Employment status</td> <td>78</td> </tr> </tbody> </table>"
,,,,18,"<b>The algorithm predicts the likelihood of a customer recommending a product or service</b><table style=cellspacing=""1"" cellpadding=""1"" border=""1""> <tbody> <tr> <td><strong>Factor</strong></td> <td><strong>Importance Score (0-100)</strong></td> </tr> <tr> <td>Overall satisfaction</td> <td>92</td> </tr> <tr> <td>Net promoter score</td> <td>88</td> </tr> <tr> <td>Customer service experience</td> <td>85</td> </tr> </tbody> </table>"
,,,,19,"<strong>The algorithm predicts the likelihood a customer will churn (cancel their subscription).</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>Length of subscription: 12 months</td> <td>Length of subscription: 6 months</td> </tr> <tr> <td>Number of support tickets raised: 3</td> <td>Number of support tickets raised: 0</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>High likelihood of churn</td> <td>Likelihood of churn reduced</td> </tr> </tbody> </table>"
,,,,20,"<strong>The algorithm predicts the price of a house in a neighborhood.</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>House size (square feet): 2000</td> <td>House size (square feet): 2500</td> </tr> <tr> <td>Neighborhood crime rate: Low</td> <td>Neighborhood crime rate: Very low</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>$300,000</td> <td>$320,000</td> </tr> </tbody> </table>"
,,,,21,"<strong>The algorithm predicts the sentiment of a tweet.</strong><table style= cellspacing=""1"" cellpadding=""1"" border=""1""><tbody> <tr> <td><strong>Current factors</strong></td> <td><strong>Hypothetical Factors</strong></td> </tr> <tr> <td>Number of positive words: 5</td> <td>Number of positive words: 10</td> </tr> <tr> <td>Number of negative words: 2</td> <td>Number of negative words: 0</td> </tr> <tr> <td><strong>Current prediction</strong></td> <td><strong>Hypothetical Prediction</strong></td> </tr> <tr> <td>Positive sentiment</td> <td>Very positive sentiment</td> </tr> </tbody> </table>"
