,Dataset,Prompt,$L$,$B$,Accuracy,Completeness,Fluency,Conciseness,Total score
60,House 2,Prompt 1,3,1,4.0,4.0,4.0,3.936,15.936
61,House 2,Prompt 1,3,3,4.0,4.0,4.0,3.872,15.872
62,House 3,Prompt 1,1,1,4.0,3.6,4.0,3.937,15.537
63,House 3,Prompt 1,1,3,4.0,3.6,4.0,3.937,15.537
64,House 3,Prompt 1,3,1,4.0,3.6,3.8,3.642,15.042
65,House 3,Prompt 1,3,3,4.0,4.0,4.0,3.832,15.832
66,Mush 1,Prompt 1,1,1,3.2,3.6,3.6,4.0,14.4
67,Mush 1,Prompt 1,1,3,3.2,3.6,3.6,4.0,14.4
68,Mush 1,Prompt 1,3,1,3.2,3.6,3.6,4.0,14.4
69,Mush 1,Prompt 1,3,3,4.0,3.6,3.4,4.0,15.0
70,House 1,Prompt 1,3,1,4.0,4.0,4.0,3.671,15.671
71,House 1,Prompt 1,3,3,3.2,4.0,3.8,3.706,14.706
72,House 1,Prompt 1,5,1,4.0,4.0,4.0,4.0,16.0
73,House 1,Prompt 1,5,3,3.2,4.0,4.0,3.988,15.188
74,House 1,Prompt 1,5,5,4.0,4.0,4.0,3.965,15.965
75,House 2,Prompt 1,3,1,4.0,4.0,4.0,3.936,15.936
76,House 2,Prompt 1,3,3,4.0,4.0,4.0,3.872,15.872
77,House 2,Prompt 1,5,1,4.0,4.0,4.0,3.936,15.936
78,House 2,Prompt 1,5,3,4.0,4.0,3.8,3.936,15.736
79,House 2,Prompt 1,5,5,4.0,4.0,3.8,3.936,15.736
80,House 3,Prompt 1,3,1,4.0,3.6,3.8,3.642,15.042
81,House 3,Prompt 1,3,3,4.0,4.0,4.0,3.832,15.832
82,House 3,Prompt 1,5,1,4.0,3.2,4.0,4.0,15.2
83,House 3,Prompt 1,5,3,4.0,4.0,4.0,4.0,16.0
84,House 3,Prompt 1,5,5,4.0,3.6,3.8,4.0,15.4
85,Mush 1,Prompt 1,3,1,3.2,3.6,3.6,4.0,14.4
86,Mush 1,Prompt 1,3,3,4.0,3.6,3.4,4.0,15.0
87,Mush 1,Prompt 1,5,1,3.2,3.6,3.6,4.0,14.4
88,Mush 1,Prompt 1,5,3,4.0,3.6,3.2,4.0,14.8
89,Mush 1,Prompt 1,5,5,4.0,3.6,3.6,4.0,15.2
90,Mush 2,Prompt 1,3,1,0.8,3.2,3.6,3.943,11.543
91,Mush 2,Prompt 1,3,3,0.8,2.8,4.0,4.0,11.6
92,Mush 2,Prompt 1,5,1,2.4,2.4,4.0,4.0,12.8
93,Mush 2,Prompt 1,5,3,2.4,2.4,4.0,4.0,12.8
94,Mush 2,Prompt 1,5,5,2.4,2.4,4.0,4.0,12.8
95,PDF 1,Prompt 1,3,1,4.0,2.4,4.0,3.943,14.343
96,PDF 1,Prompt 1,3,3,4.0,2.4,4.0,4.0,14.4
97,PDF 1,Prompt 1,5,1,4.0,2.4,4.0,3.943,14.343
98,PDF 1,Prompt 1,5,3,4.0,2.4,4.0,4.0,14.4
99,PDF 1,Prompt 1,5,5,4.0,2.4,4.0,4.0,14.4
100,PDF 2,Prompt 1,3,1,0.0,2.8,3.6,3.927,10.327
101,PDF 2,Prompt 1,3,3,0.0,2.8,3.6,3.927,10.327
102,PDF 2,Prompt 1,5,1,0.0,3.2,4.0,3.964,11.164
103,PDF 2,Prompt 1,5,3,0.0,3.2,4.0,3.964,11.164
104,PDF 2,Prompt 1,5,5,0.0,3.2,4.0,3.964,11.164
105,Student 1,Prompt 1,3,1,4.0,3.6,4.0,4.0,15.6
106,Student 1,Prompt 1,3,3,4.0,4.0,4.0,4.0,16.0
107,Student 1,Prompt 1,5,1,4.0,3.2,3.8,4.0,15.0
108,Student 1,Prompt 1,5,3,4.0,3.6,4.0,4.0,15.6
109,Student 1,Prompt 1,5,5,4.0,3.6,4.0,4.0,15.6
110,Student 2,Prompt 1,3,1,4.0,3.6,4.0,3.65,15.25
111,Student 2,Prompt 1,3,3,3.2,4.0,4.0,3.825,15.025
112,Student 2,Prompt 1,5,1,4.0,4.0,4.0,4.0,16.0
113,Student 2,Prompt 1,5,3,4.0,4.0,4.0,4.0,16.0
114,Student 2,Prompt 1,5,5,4.0,4.0,4.0,3.925,15.925
